,batter_id,batter_name,year,team,height/weight,position,G,AB,H,2B,3B,HR,TB,SB,CS,BB,HBP,R,RBI,E,SO,GDP,avg,OBP,SLG,OPS,career,starting_salary,year_born,p_year,YAB,YOPS
10,4,강민호,2005,롯데,185cm/100kg,포수(우투우타),104,214,52,11,2,2,73,1,4,5,2,20,18,9,56,7,0.243,0.267,0.341,0.6080000000000001,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2006,225.0,0.639
11,4,강민호,2006,롯데,185cm/100kg,포수(우투우타),126,410,103,20,0,9,150,4,1,23,11,40,53,12,78,5,0.251,0.307,0.366,0.6729999999999999,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2007,261.0,0.6910000000000001
12,4,강민호,2007,롯데,185cm/100kg,포수(우투우타),125,413,112,20,0,14,174,1,4,37,4,48,68,11,88,10,0.271,0.335,0.42100000000000004,0.7559999999999999,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2008,329.0,0.857
13,4,강민호,2008,롯데,185cm/100kg,포수(우투우타),122,435,127,25,1,19,211,2,4,49,7,51,82,6,77,13,0.292,0.365,0.485,0.85,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2009,220.0,0.718
14,4,강민호,2009,롯데,185cm/100kg,포수(우투우타),83,262,68,13,0,9,108,0,0,33,3,36,30,6,44,9,0.26,0.34600000000000003,0.41200000000000003,0.758,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2010,293.0,0.8690000000000001
15,4,강민호,2010,롯데,185cm/100kg,포수(우투우타),117,410,125,19,1,23,215,2,7,42,8,66,72,11,65,16,0.305,0.376,0.524,0.9,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2011,282.0,0.878
16,4,강민호,2011,롯데,185cm/100kg,포수(우투우타),124,450,130,25,2,19,216,4,6,47,8,63,66,15,81,18,0.289,0.366,0.48,0.846,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2012,257.0,0.8049999999999999
17,4,강민호,2012,롯데,185cm/100kg,포수(우투우타),119,400,109,21,0,19,187,0,1,44,8,41,66,3,97,9,0.273,0.355,0.46799999999999997,0.823,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2013,217.0,0.727
18,4,강민호,2013,롯데,185cm/100kg,포수(우투우타),105,327,77,13,0,11,123,4,1,60,11,48,57,8,87,5,0.235,0.366,0.376,0.742,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2014,232.0,0.7190000000000001
19,4,강민호,2014,롯데,185cm/100kg,포수(우투우타),98,310,71,14,2,16,137,1,2,33,13,37,40,3,92,6,0.22899999999999998,0.325,0.442,0.767,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2015,234.0,1.092
20,4,강민호,2015,롯데,185cm/100kg,포수(우투우타),123,380,118,18,1,35,243,0,0,60,14,63,86,8,112,14,0.311,0.42100000000000004,0.639,1.06,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2016,251.0,1.023
21,4,강민호,2016,롯데,185cm/100kg,포수(우투우타),116,381,123,26,0,20,209,4,0,66,10,65,72,4,91,7,0.32299999999999995,0.433,0.5489999999999999,0.982,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2017,275.0,0.929
22,4,강민호,2017,롯데,185cm/100kg,포수(우투우타),130,456,130,22,1,22,220,0,2,41,15,62,68,11,104,15,0.285,0.361,0.48200000000000004,0.843,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2018,267.0,0.8089999999999999
23,8,강상원,2017,한화,172cm/64kg,외야수(우투좌타),33,14,3,1,0,0,4,0,0,0,0,8,1,0,5,0,0.214,0.214,0.28600000000000003,0.5,온양온천초-온양중-북일고,3000만원,1997년 05월 05일,2018,6.0,0.14300000000000002
24,9,강승호,2016,LG,179cm/77kg,내야수(우투우타),18,38,7,3,0,0,10,0,0,2,0,4,3,5,12,0,0.184,0.22,0.263,0.483,순천북초-천안북중-북일고-LG-경찰-LG,20000만원,1994년 02월 09일,2017,76.0,0.875
25,9,강승호,2017,LG,179cm/77kg,내야수(우투우타),85,248,62,14,2,5,95,2,2,7,3,42,31,12,67,5,0.25,0.272,0.38299999999999995,0.655,순천북초-천안북중-북일고-LG-경찰-LG,20000만원,1994년 02월 09일,2018,94.0,0.542
26,11,강진성,2017,NC,180cm/81kg,내야수(우투우타),28,27,8,3,0,1,14,0,0,4,1,5,5,0,4,1,0.29600000000000004,0.406,0.519,0.925,가동초-잠신중-경기고-NC-경찰,7000만원,1993년 10월 19일,2018,61.0,0.5760000000000001
27,12,강한울,2014,KIA,181cm/66kg,내야수(우투좌타),93,208,55,5,4,0,68,4,2,8,1,32,14,11,44,1,0.264,0.294,0.327,0.621,사당초-중앙중-안산공고-원광대-KIA,14000만원,1991년 09월 12일,2015,235.0,0.527
28,12,강한울,2015,KIA,181cm/66kg,내야수(우투좌타),90,264,54,8,3,0,68,9,4,13,3,30,12,12,51,2,0.205,0.25,0.258,0.508,사당초-중앙중-안산공고-원광대-KIA,14000만원,1991년 09월 12일,2016,147.0,0.69
29,12,강한울,2016,KIA,181cm/66kg,내야수(우투좌타),104,298,81,13,3,0,100,7,3,15,0,36,27,11,46,2,0.272,0.307,0.336,0.643,사당초-중앙중-안산공고-원광대-KIA,14000만원,1991년 09월 12일,2017,249.0,0.67
30,12,강한울,2017,삼성,181cm/66kg,내야수(우투좌타),135,412,125,9,3,0,140,12,7,26,0,58,24,16,57,4,0.303,0.344,0.34,0.6839999999999999,사당초-중앙중-안산공고-원광대-KIA,14000만원,1991년 09월 12일,2018,180.0,0.611
31,18,고종욱,2014,넥센,184cm/83kg,외야수(우투좌타),8,12,0,0,0,0,0,1,0,2,0,2,0,0,4,0,0.0,0.14300000000000002,0.0,0.14300000000000002,역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1989년 01월 11일,2015,231.0,0.841
32,18,고종욱,2015,넥센,184cm/83kg,외야수(우투좌타),119,407,126,25,4,10,189,22,14,25,6,81,51,3,81,10,0.31,0.358,0.46399999999999997,0.8220000000000001,역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1989년 01월 11일,2016,309.0,0.91
33,18,고종욱,2016,넥센,184cm/83kg,외야수(우투좌타),133,527,176,22,9,8,240,28,14,28,5,92,72,1,103,10,0.33399999999999996,0.37,0.455,0.825,역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1989년 01월 11일,2017,239.0,0.7659999999999999
34,18,고종욱,2017,넥센,184cm/83kg,외야수(우투좌타),123,426,133,24,8,8,197,16,4,22,3,70,54,5,92,11,0.312,0.349,0.462,0.8109999999999999,역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1989년 01월 11일,2018,210.0,0.6890000000000001
35,19,구자욱,2015,삼성,189cm/75kg,외야수(우투좌타),116,410,143,33,5,11,219,17,7,45,6,97,57,13,79,3,0.349,0.41700000000000004,0.534,0.951,본리초-경복중-대구고-삼성-상무,13000만원,1993년 02월 12일,2016,181.0,1.033
36,19,구자욱,2016,삼성,189cm/75kg,외야수(우투좌타),108,428,147,19,13,14,234,10,5,55,5,105,77,7,68,4,0.34299999999999997,0.42,0.547,0.967,본리초-경복중-대구고-삼성-상무,13000만원,1993년 02월 12일,2017,334.0,0.955
37,19,구자욱,2017,삼성,189cm/75kg,외야수(우투좌타),144,564,175,39,10,21,297,10,4,63,10,108,107,5,138,1,0.31,0.38299999999999995,0.527,0.91,본리초-경복중-대구고-삼성-상무,13000만원,1993년 02월 12일,2018,256.0,0.8049999999999999
38,20,국해성,2015,두산,180cm/94kg,외야수(우투양타),11,20,4,1,0,1,8,0,0,2,1,6,5,0,5,2,0.2,0.28,0.4,0.68,군산중앙초-동인천중-인천고,,1989년 10월 08일,2016,49.0,0.9009999999999999
39,20,국해성,2016,두산,180cm/94kg,외야수(우투양타),58,151,42,11,0,4,65,1,1,21,1,28,24,1,36,1,0.278,0.368,0.43,0.7979999999999999,군산중앙초-동인천중-인천고,,1989년 10월 08일,2017,73.0,0.628
40,20,국해성,2017,두산,180cm/94kg,외야수(우투양타),57,86,18,3,0,3,30,0,0,5,4,15,17,0,23,2,0.209,0.281,0.349,0.63,군산중앙초-동인천중-인천고,,1989년 10월 08일,2018,24.0,0.887
41,22,권정웅,2016,삼성,180cm/88kg,포수(우투우타),3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,서울이수초-영동중-덕수고-한양대,6000만원,1992년 11월 15일,2017,52.0,0.512
42,22,권정웅,2017,삼성,180cm/88kg,포수(우투우타),61,99,21,3,0,6,42,0,0,8,1,11,11,1,31,4,0.212,0.278,0.424,0.7020000000000001,서울이수초-영동중-덕수고-한양대,6000만원,1992년 11월 15일,2018,8.0,0.0
43,23,권희동,2013,NC,177cm/85kg,외야수(우투우타),121,349,71,19,1,15,137,4,1,36,2,42,54,3,75,6,0.203,0.27899999999999997,0.39299999999999996,0.672,동천초-경주중-경주고-경남대-NC-상무,3000만원,1990년 12월 30일,2014,129.0,0.7609999999999999
44,23,권희동,2016,NC,177cm/85kg,외야수(우투우타),14,41,11,0,0,1,14,0,1,5,1,4,9,0,9,0,0.268,0.36200000000000004,0.341,0.7030000000000001,동천초-경주중-경주고-경남대-NC-상무,3000만원,1990년 12월 30일,2017,263.0,0.8190000000000001
45,23,권희동,2017,NC,177cm/85kg,외야수(우투우타),141,472,135,20,2,19,216,3,3,51,17,72,86,3,90,12,0.28600000000000003,0.371,0.45799999999999996,0.8290000000000001,동천초-경주중-경주고-경남대-NC-상무,3000만원,1990년 12월 30일,2018,147.0,0.624
46,24,김강민,2002,SK,182cm/85kg,외야수(우투우타),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,본리초-대구중-경북고,11000만원,1982년 09월 13일,2003,0.0,
47,24,김강민,2003,SK,182cm/85kg,외야수(우투우타),2,4,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0.5,0.5,0.5,1.0,본리초-대구중-경북고,11000만원,1982년 09월 13일,2004,1.0,0.0
48,24,김강민,2004,SK,182cm/85kg,외야수(우투우타),23,25,3,1,0,1,7,2,1,3,0,4,2,0,7,1,0.12,0.214,0.28,0.494,본리초-대구중-경북고,11000만원,1982년 09월 13일,2005,40.0,0.5449999999999999
49,24,김강민,2005,SK,182cm/85kg,외야수(우투우타),23,40,9,1,0,0,10,2,3,4,0,6,3,0,9,0,0.225,0.295,0.25,0.5449999999999999,본리초-대구중-경북고,11000만원,1982년 09월 13일,2006,92.0,0.6619999999999999
50,24,김강민,2006,SK,182cm/85kg,외야수(우투우타),96,145,40,9,1,1,54,8,5,14,1,20,14,2,30,3,0.276,0.342,0.3720000000000001,0.7140000000000001,본리초-대구중-경북고,11000만원,1982년 09월 13일,2007,215.0,0.647
51,24,김강민,2007,SK,182cm/85kg,외야수(우투우타),124,334,81,10,3,4,109,19,10,28,6,51,18,1,57,6,0.243,0.312,0.326,0.638,본리초-대구중-경북고,11000만원,1982년 09월 13일,2008,150.0,0.69
52,24,김강민,2008,SK,182cm/85kg,외야수(우투우타),106,258,70,16,3,3,101,16,8,26,6,38,32,8,46,2,0.271,0.35200000000000004,0.391,0.743,본리초-대구중-경북고,11000만원,1982년 09월 13일,2009,208.0,0.845
53,24,김강민,2009,SK,182cm/85kg,외야수(우투우타),104,341,91,18,3,12,151,10,7,24,5,48,42,5,67,7,0.267,0.32299999999999995,0.44299999999999995,0.7659999999999999,본리초-대구중-경북고,11000만원,1982년 09월 13일,2010,242.0,0.892
54,24,김강민,2010,SK,182cm/85kg,외야수(우투우타),115,401,127,19,2,10,180,23,9,33,2,74,72,1,51,5,0.317,0.369,0.449,0.8180000000000001,본리초-대구중-경북고,11000만원,1982년 09월 13일,2011,126.0,0.732
55,24,김강민,2011,SK,182cm/85kg,외야수(우투우타),80,281,79,14,1,8,119,9,4,20,2,37,33,2,56,3,0.281,0.331,0.423,0.754,본리초-대구중-경북고,11000만원,1982년 09월 13일,2012,266.0,0.659
56,24,김강민,2012,SK,182cm/85kg,외야수(우투우타),123,427,116,20,0,5,151,11,10,29,4,49,31,2,72,7,0.272,0.322,0.354,0.6759999999999999,본리초-대구중-경북고,11000만원,1982년 09월 13일,2013,192.0,0.731
57,24,김강민,2013,SK,182cm/85kg,외야수(우투우타),105,352,106,22,3,10,164,10,6,36,4,39,55,3,54,10,0.301,0.37,0.466,0.8360000000000001,본리초-대구중-경북고,11000만원,1982년 09월 13일,2014,308.0,0.882
58,24,김강민,2014,SK,182cm/85kg,외야수(우투우타),113,430,130,29,3,16,213,32,5,43,4,86,82,3,91,12,0.302,0.368,0.495,0.863,본리초-대구중-경북고,11000만원,1982년 09월 13일,2015,133.0,0.7629999999999999
59,24,김강민,2015,SK,182cm/85kg,외야수(우투우타),96,293,72,17,0,4,101,7,4,23,7,43,31,1,83,6,0.24600000000000002,0.315,0.345,0.6599999999999999,본리초-대구중-경북고,11000만원,1982년 09월 13일,2016,198.0,0.847
60,24,김강민,2016,SK,182cm/85kg,외야수(우투우타),115,366,109,21,0,10,160,12,5,32,12,59,47,2,89,5,0.298,0.371,0.4370000000000001,0.8079999999999999,본리초-대구중-경북고,11000만원,1982년 09월 13일,2017,119.0,0.59
61,24,김강민,2017,SK,182cm/85kg,외야수(우투우타),88,183,40,5,1,5,62,10,4,15,5,31,18,2,50,3,0.21899999999999997,0.29600000000000004,0.33899999999999997,0.635,본리초-대구중-경북고,11000만원,1982년 09월 13일,2018,49.0,0.8540000000000001
62,28,김규민,2017,넥센,188cm/85kg,외야수(좌투좌타),14,21,5,0,1,0,7,0,0,1,1,5,2,1,6,0,0.23800000000000002,0.304,0.33299999999999996,0.637,일산초-자양중-휘문고,5000만원,1993년 01월 26일,2018,222.0,0.741
63,101,문선재,2013,LG,184cm/80kg,외야수(우투우타),93,217,58,10,1,4,82,8,5,13,3,31,25,4,71,1,0.267,0.316,0.37799999999999995,0.6940000000000001,광주서림초-광주동성중-광주동성고-LG-상무,5000만원,1990년 05월 20일,2014,12.0,0.297
64,101,문선재,2014,LG,184cm/80kg,외야수(우투우타),22,20,3,1,0,0,4,3,0,3,0,4,4,0,5,0,0.15,0.25,0.2,0.45,광주서림초-광주동성중-광주동성고-LG-상무,5000만원,1990년 05월 20일,2015,131.0,0.7150000000000001
65,101,문선재,2015,LG,184cm/80kg,외야수(우투우타),103,212,48,13,1,5,78,9,6,23,3,27,27,3,54,4,0.226,0.31,0.368,0.6779999999999999,광주서림초-광주동성중-광주동성고-LG-상무,5000만원,1990년 05월 20일,2016,56.0,0.7390000000000001
66,101,문선재,2016,LG,184cm/80kg,외야수(우투우타),52,111,32,3,2,7,60,5,0,10,0,28,16,0,29,1,0.28800000000000003,0.344,0.541,0.885,광주서림초-광주동성중-광주동성고-LG-상무,5000만원,1990년 05월 20일,2017,15.0,0.33
67,101,문선재,2017,LG,184cm/80kg,외야수(우투우타),35,92,24,6,1,2,38,0,3,10,1,17,14,3,24,0,0.261,0.33299999999999996,0.413,0.746,광주서림초-광주동성중-광주동성고-LG-상무,5000만원,1990년 05월 20일,2018,6.0,0.33399999999999996
68,30,김동엽,2016,SK,186cm/101kg,외야수(우투우타),57,143,48,8,0,6,74,2,1,5,1,19,23,0,41,3,0.336,0.36,0.517,0.877,천안남산초-천안북중-북일고,,1990년 07월 24일,2017,274.0,0.89
69,30,김동엽,2017,SK,186cm/101kg,외야수(우투우타),125,393,109,18,1,22,195,2,4,23,9,58,70,5,62,6,0.27699999999999997,0.32899999999999996,0.496,0.825,천안남산초-천안북중-북일고,,1990년 07월 24일,2018,294.0,0.8200000000000001
70,31,김동욱,2012,삼성,183cm/89kg,내야수(우투우타),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,신광초-경복중-대구고-삼성,13000만원,1988년 06월 24일,2013,0.0,
71,31,김동욱,2015,KT,183cm/89kg,내야수(우투우타),21,51,10,3,0,0,13,1,1,13,1,8,3,0,16,1,0.196,0.369,0.255,0.624,신광초-경복중-대구고-삼성,13000만원,1988년 06월 24일,2016,18.0,0.37200000000000005
72,31,김동욱,2016,KT,183cm/89kg,내야수(우투우타),21,37,5,0,0,3,14,0,0,3,1,3,5,1,14,2,0.135,0.22,0.37799999999999995,0.598,신광초-경복중-대구고-삼성,13000만원,1988년 06월 24일,2017,121.0,0.747
73,31,김동욱,2017,KT,183cm/89kg,내야수(우투우타),83,209,60,9,0,4,81,1,0,6,3,28,24,4,44,7,0.287,0.309,0.38799999999999996,0.6970000000000001,신광초-경복중-대구고-삼성,13000만원,1988년 06월 24일,2018,11.0,0.258
74,33,김동한,2012,두산,174cm/74kg,내야수(우투우타),10,8,3,0,0,0,3,2,0,0,0,3,0,0,2,0,0.375,0.375,0.375,0.75,내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,1988년 06월 24일,2013,0.0,
75,33,김동한,2016,롯데,174cm/74kg,내야수(우투우타),78,107,27,6,0,0,33,5,1,6,0,9,14,2,19,1,0.252,0.292,0.308,0.6,내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,1988년 06월 24일,2017,117.0,0.667
76,33,김동한,2017,롯데,174cm/74kg,내야수(우투우타),81,178,42,19,0,3,70,4,3,14,0,26,14,7,25,2,0.23600000000000002,0.292,0.39299999999999996,0.685,내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,1988년 06월 24일,2018,63.0,0.5820000000000001
77,35,김문호,2006,롯데,185cm/102kg,외야수(좌투좌타),8,10,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0.3,0.41700000000000004,0.3,0.7170000000000001,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2007,35.0,0.6759999999999999
78,35,김문호,2011,롯데,185cm/102kg,외야수(좌투좌타),19,26,6,1,0,0,7,1,1,3,0,4,1,0,7,0,0.231,0.31,0.26899999999999996,0.579,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2012,43.0,0.5489999999999999
79,35,김문호,2012,롯데,185cm/102kg,외야수(좌투좌타),56,79,16,3,0,0,19,1,3,11,3,10,2,0,22,1,0.203,0.32299999999999995,0.24100000000000002,0.5640000000000001,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2013,137.0,0.7090000000000001
80,35,김문호,2013,롯데,185cm/102kg,외야수(좌투좌타),40,137,36,10,0,0,46,8,5,21,3,19,10,3,31,1,0.263,0.373,0.336,0.7090000000000001,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2014,151.0,0.6950000000000001
81,35,김문호,2014,롯데,185cm/102kg,외야수(좌투좌타),71,192,41,11,3,2,64,4,0,19,5,28,27,4,51,2,0.214,0.301,0.33299999999999996,0.634,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2015,193.0,0.7020000000000001
82,35,김문호,2015,롯데,185cm/102kg,외야수(좌투좌타),93,288,88,13,0,4,113,8,5,25,4,35,31,3,45,11,0.306,0.3670000000000001,0.392,0.759,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2016,323.0,0.878
83,35,김문호,2016,롯데,185cm/102kg,외야수(좌투좌타),140,526,171,28,3,7,226,12,15,62,6,77,70,5,70,15,0.325,0.401,0.43,0.831,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2017,242.0,0.8009999999999999
84,35,김문호,2017,롯데,185cm/102kg,외야수(좌투좌타),131,390,114,17,1,2,139,9,4,37,13,49,35,4,73,5,0.292,0.3720000000000001,0.35600000000000004,0.728,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,12000만원,1987년 06월 22일,2018,92.0,0.696
85,36,김민성,2007,롯데,181cm/94kg,내야수(우투우타),4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2008,1.0,0.0
86,36,김민성,2008,롯데,181cm/94kg,내야수(우투우타),20,25,5,1,0,0,6,0,0,0,2,6,1,0,5,1,0.2,0.259,0.24,0.499,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2009,254.0,0.677
87,36,김민성,2009,롯데,181cm/94kg,내야수(우투우타),114,327,81,17,0,4,110,5,5,48,4,51,37,8,72,8,0.248,0.349,0.336,0.685,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2010,89.0,0.7040000000000001
88,36,김민성,2010,넥센,181cm/94kg,내야수(우투우타),80,180,36,4,0,2,46,1,0,18,11,26,12,3,41,6,0.2,0.31,0.256,0.5660000000000001,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2011,181.0,0.631
89,36,김민성,2011,넥센,181cm/94kg,내야수(우투우타),124,314,74,10,1,4,98,12,3,26,9,37,23,8,51,4,0.23600000000000002,0.311,0.312,0.623,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2012,53.0,0.973
90,36,김민성,2012,넥센,181cm/94kg,내야수(우투우타),71,219,62,9,0,4,83,7,2,17,6,24,22,3,58,2,0.28300000000000003,0.34600000000000003,0.379,0.725,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2013,250.0,0.8049999999999999
91,36,김민성,2013,넥센,181cm/94kg,내야수(우투우타),128,458,129,24,2,15,202,7,7,42,16,60,72,13,84,11,0.282,0.36,0.441,0.8009999999999999,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2014,282.0,0.8009999999999999
92,36,김민성,2014,넥센,181cm/94kg,내야수(우투우타),116,438,128,29,2,12,197,3,1,30,10,60,77,8,80,10,0.292,0.349,0.45,0.7989999999999999,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2015,284.0,0.866
93,36,김민성,2015,넥센,181cm/94kg,내야수(우투우타),118,445,135,24,0,16,207,1,1,31,8,60,71,5,62,15,0.303,0.35700000000000004,0.465,0.8220000000000001,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2016,307.0,0.8390000000000001
94,36,김민성,2016,넥센,181cm/94kg,내야수(우투우타),141,510,156,39,5,17,256,6,3,53,3,76,90,7,89,15,0.306,0.3670000000000001,0.502,0.8690000000000001,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2017,305.0,0.852
95,36,김민성,2017,넥센,181cm/94kg,내야수(우투우타),133,472,133,26,1,15,206,0,1,43,7,59,78,6,93,15,0.282,0.345,0.436,0.7809999999999999,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,10000만원,1988년 12월 17일,2018,272.0,0.753
96,37,김민수,2017,삼성,177cm/80kg,포수(우투우타),13,21,3,1,0,0,4,0,0,1,0,2,3,1,8,0,0.14300000000000002,0.182,0.19,0.3720000000000001,대구옥산초-경복중-대구상원고-영남대-한화-삼성-상무,11000만원,1991년 03월 02일,2018,2.0,1.0
97,38,김민식,2015,SK,180cm/80kg,포수(우투좌타),23,24,4,0,0,0,4,0,0,2,0,4,0,0,2,2,0.16699999999999998,0.231,0.16699999999999998,0.39799999999999996,양덕초-마산중-마산고-원광대-SK-상무-SK,14000만원,1989년 06월 28일,2016,77.0,0.5920000000000001
98,38,김민식,2016,SK,180cm/80kg,포수(우투좌타),88,144,37,9,0,2,52,1,1,21,2,17,14,7,38,2,0.257,0.359,0.361,0.72,양덕초-마산중-마산고-원광대-SK-상무-SK,14000만원,1989년 06월 28일,2017,227.0,0.609
99,38,김민식,2017,KIA,180cm/80kg,포수(우투좌타),137,352,78,9,2,4,103,3,3,26,5,39,40,8,55,7,0.222,0.28300000000000003,0.293,0.5760000000000001,양덕초-마산중-마산고-원광대-SK-상무-SK,14000만원,1989년 06월 28일,2018,183.0,0.696
100,335,홍성갑,2014,넥센,181cm/80kg,외야수(우투우타),2,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.5,0.5,0.5,1.0,서원초-천안북중-북일고,,1992년 08월 02일,2015,9.0,0.7330000000000001
101,335,홍성갑,2015,넥센,181cm/80kg,외야수(우투우타),7,9,3,0,0,0,3,0,0,1,0,0,2,0,4,0,0.33299999999999996,0.4,0.33299999999999996,0.7330000000000001,서원초-천안북중-북일고,,1992년 08월 02일,2016,35.0,0.611
