batter_name,part,year,AB,H,2B,3B,HR,BB,HBP,1B,TB,FBP,avg,OBP,SLG,OPS
고종욱,후반기,2014,12,0,0,0,0,2,0,0,0,2,0.0,0.143,0.0,0.143
고종욱,후반기,2015,176,54,10,2,4,9,1,38,80,10,0.307,0.344,0.455,0.7989999999999999
고종욱,후반기,2016,218,66,10,1,1,12,1,54,81,13,0.303,0.342,0.372,0.714
고종욱,후반기,2017,187,61,12,4,5,9,1,40,96,10,0.326,0.36,0.513,0.873
고종욱,후반기,2018,120,36,12,0,1,5,0,23,51,5,0.3,0.328,0.425,0.753
구자욱,전반기,2015,258,85,23,2,9,29,3,51,139,32,0.329,0.403,0.539,0.9420000000000001
구자욱,전반기,2016,181,66,10,5,6,29,2,45,104,31,0.365,0.458,0.575,1.033
구자욱,전반기,2017,334,102,24,7,15,46,7,56,185,53,0.305,0.401,0.554,0.9550000000000001
구자욱,전반기,2018,256,80,13,3,4,22,2,60,111,24,0.312,0.371,0.434,0.8049999999999999
구자욱,후반기,2015,152,58,10,3,2,16,3,43,80,19,0.382,0.45,0.526,0.976
구자욱,후반기,2016,247,81,9,8,8,26,3,56,130,29,0.328,0.399,0.526,0.925
구자욱,후반기,2017,230,73,15,3,6,17,3,49,112,20,0.317,0.372,0.487,0.859
구자욱,후반기,2018,222,79,13,2,16,21,3,48,144,24,0.356,0.419,0.649,1.068
국해성,전반기,2012,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
국해성,전반기,2015,4,0,0,0,0,2,0,0,0,2,0.0,0.333,0.0,0.333
국해성,전반기,2016,49,15,2,0,3,5,0,10,26,5,0.306,0.37,0.531,0.901
국해성,전반기,2017,73,14,3,0,3,4,4,8,26,8,0.192,0.272,0.356,0.628
국해성,전반기,2018,24,8,3,0,0,3,1,5,11,4,0.333,0.429,0.458,0.887
국해성,후반기,2015,16,4,1,0,1,0,1,2,8,1,0.25,0.294,0.5,0.794
국해성,후반기,2016,102,27,9,0,1,16,1,17,39,17,0.265,0.37,0.382,0.752
국해성,후반기,2017,13,4,0,0,0,1,0,4,4,1,0.308,0.357,0.308,0.665
권정웅,전반기,2016,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
권정웅,전반기,2017,52,8,0,0,3,2,0,5,17,2,0.154,0.185,0.327,0.512
권정웅,전반기,2018,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
권정웅,후반기,2016,1,1,0,0,0,0,0,1,1,0,1.0,1.0,1.0,2.0
권정웅,후반기,2017,47,13,3,0,3,6,1,7,25,7,0.277,0.37,0.532,0.902
권정웅,후반기,2018,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
권희동,전반기,2013,198,42,11,0,5,24,2,26,68,26,0.212,0.304,0.343,0.647
권희동,전반기,2014,129,35,6,0,3,19,2,26,50,21,0.271,0.373,0.388,0.761
권희동,전반기,2017,263,72,12,1,10,36,8,49,116,44,0.274,0.378,0.441,0.819
권희동,전반기,2018,147,32,8,0,2,19,1,22,46,20,0.218,0.311,0.313,0.624
권희동,후반기,2013,151,29,8,1,10,12,0,10,69,12,0.192,0.252,0.457,0.7090000000000001
권희동,후반기,2014,92,28,4,2,4,6,1,18,48,7,0.304,0.354,0.522,0.876
권희동,후반기,2016,41,11,0,0,1,5,1,10,14,6,0.268,0.362,0.341,0.7030000000000001
권희동,후반기,2017,209,63,8,1,9,15,9,45,100,24,0.301,0.373,0.478,0.851
권희동,후반기,2018,196,65,11,1,6,16,3,47,96,19,0.332,0.391,0.49,0.881
김강민,전반기,2003,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김강민,전반기,2004,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김강민,전반기,2005,40,9,1,0,0,4,0,8,10,4,0.225,0.295,0.25,0.5449999999999999
김강민,전반기,2006,92,23,5,1,1,6,1,16,33,7,0.25,0.303,0.359,0.6619999999999999
김강민,전반기,2007,215,51,5,3,3,20,5,40,71,25,0.237,0.317,0.33,0.647
김강민,전반기,2008,150,38,10,1,1,15,4,26,53,19,0.253,0.337,0.353,0.69
김강민,전반기,2009,208,61,12,3,8,15,3,38,103,18,0.293,0.35,0.495,0.845
김강민,전반기,2010,242,80,13,1,8,26,2,58,119,28,0.331,0.4,0.492,0.892
김강민,전반기,2011,126,32,9,1,3,12,0,19,52,12,0.254,0.319,0.413,0.732
김강민,전반기,2012,266,68,16,0,4,13,3,48,96,16,0.256,0.298,0.361,0.659
김강민,전반기,2013,192,54,11,3,1,17,2,39,74,19,0.281,0.346,0.385,0.731
김강민,전반기,2014,308,94,22,2,11,36,4,59,153,40,0.305,0.385,0.497,0.882
김강민,전반기,2015,133,38,8,0,3,10,3,27,55,13,0.286,0.349,0.414,0.7629999999999999
김강민,전반기,2016,198,61,12,0,7,15,5,42,94,20,0.308,0.372,0.475,0.847
김강민,전반기,2017,119,25,3,0,2,12,4,20,34,16,0.21,0.304,0.286,0.59
김강민,전반기,2018,49,14,4,0,2,6,0,8,24,6,0.286,0.364,0.49,0.854
김강민,후반기,2002,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김강민,후반기,2003,4,2,0,0,0,0,0,2,2,0,0.5,0.5,0.5,1.0
김강민,후반기,2004,24,3,1,0,1,3,0,1,7,3,0.125,0.222,0.292,0.514
김강민,후반기,2006,53,17,4,0,0,8,0,13,21,8,0.321,0.41,0.396,0.806
김강민,후반기,2007,119,30,5,0,1,8,1,24,38,9,0.252,0.305,0.319,0.624
김강민,후반기,2008,108,32,6,2,2,11,2,22,48,13,0.296,0.372,0.444,0.8160000000000001
김강민,후반기,2009,133,30,6,0,4,9,2,20,48,11,0.226,0.285,0.361,0.6459999999999999
김강민,후반기,2010,159,47,6,1,2,7,0,38,61,7,0.296,0.325,0.384,0.7090000000000001
김강민,후반기,2011,155,47,5,0,5,8,2,37,67,10,0.303,0.345,0.432,0.7769999999999999
김강민,후반기,2012,161,48,4,0,1,16,1,43,55,17,0.298,0.365,0.342,0.7070000000000001
김강민,후반기,2013,160,52,11,0,9,19,2,32,90,21,0.325,0.403,0.562,0.9650000000000001
김강민,후반기,2014,122,36,7,1,5,7,0,23,60,7,0.295,0.333,0.492,0.825
김강민,후반기,2015,160,34,9,0,1,13,4,24,46,17,0.212,0.288,0.288,0.576
김강민,후반기,2016,168,48,9,0,3,17,7,36,66,24,0.286,0.375,0.393,0.768
김강민,후반기,2017,64,15,2,1,3,3,1,9,28,4,0.234,0.279,0.438,0.7170000000000001
김강민,후반기,2018,186,56,10,0,12,16,5,34,102,21,0.301,0.372,0.548,0.92
김규민,전반기,2017,18,5,0,1,0,1,1,4,7,2,0.278,0.35,0.389,0.739
김규민,전반기,2018,222,67,5,2,2,19,6,58,82,25,0.302,0.372,0.369,0.741
김규민,후반기,2017,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김규민,후반기,2018,76,21,4,0,1,8,0,16,28,8,0.276,0.345,0.368,0.713
김동엽,전반기,2016,6,2,0,0,0,0,0,2,2,0,0.333,0.333,0.333,0.666
김동엽,전반기,2017,274,79,14,1,18,18,6,46,149,24,0.288,0.346,0.544,0.89
김동엽,전반기,2018,294,77,12,0,22,11,2,43,155,13,0.262,0.293,0.527,0.8200000000000001
김동엽,후반기,2016,137,46,8,0,6,5,1,32,72,6,0.336,0.364,0.526,0.89
김동엽,후반기,2017,119,30,4,0,4,5,3,22,46,8,0.252,0.299,0.387,0.6859999999999999
김동엽,후반기,2018,127,29,3,0,5,6,2,21,47,8,0.228,0.274,0.37,0.644
김동욱,전반기,2013,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김동욱,전반기,2015,51,10,3,0,0,13,1,7,13,14,0.196,0.369,0.255,0.624
김동욱,전반기,2016,18,1,0,0,1,1,1,0,4,2,0.056,0.15,0.222,0.372
김동욱,전반기,2017,121,35,7,0,4,2,0,24,54,2,0.289,0.301,0.446,0.747
김동욱,전반기,2018,11,1,0,0,0,1,0,1,1,1,0.091,0.167,0.091,0.258
김동욱,후반기,2007,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김동욱,후반기,2012,1,0,0,0,0,1,0,0,0,1,0.0,0.5,0.0,0.5
김동욱,후반기,2013,2,1,0,0,0,0,0,1,1,0,0.5,0.5,0.5,1.0
김동욱,후반기,2016,19,4,0,0,2,2,0,2,10,2,0.211,0.286,0.526,0.812
김동욱,후반기,2017,88,25,2,0,0,4,3,23,27,7,0.284,0.337,0.307,0.644
김동한,전반기,2013,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김동한,전반기,2016,17,3,1,0,0,0,0,2,4,0,0.176,0.176,0.235,0.411
김동한,전반기,2017,117,27,11,0,2,10,0,14,44,10,0.231,0.291,0.376,0.667
김동한,전반기,2018,63,13,1,0,2,5,0,10,20,5,0.206,0.265,0.317,0.5820000000000001
김동한,후반기,2012,8,3,0,0,0,0,0,3,3,0,0.375,0.375,0.375,0.75
김동한,후반기,2013,20,7,2,1,1,2,0,3,14,2,0.35,0.409,0.7,1.109
김동한,후반기,2016,90,24,5,0,0,6,0,19,29,6,0.267,0.312,0.322,0.634
김동한,후반기,2017,61,15,8,0,1,4,0,6,26,4,0.246,0.292,0.426,0.718
김동한,후반기,2018,20,3,0,0,0,4,0,3,3,4,0.15,0.292,0.15,0.44199999999999995
김만수,후반기,2016,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김만수,후반기,2017,6,1,0,0,0,0,0,1,1,0,0.167,0.167,0.167,0.334
김문호,전반기,2006,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김문호,전반기,2007,35,9,0,0,1,2,2,8,12,4,0.257,0.333,0.343,0.676
김문호,전반기,2011,26,6,1,0,0,3,0,5,7,3,0.231,0.31,0.269,0.579
김문호,전반기,2012,43,8,1,0,0,8,2,7,9,10,0.186,0.34,0.209,0.549
김문호,전반기,2013,137,36,10,0,0,21,3,26,46,24,0.263,0.373,0.336,0.7090000000000001
김문호,전반기,2014,151,35,10,3,1,19,5,21,54,24,0.232,0.337,0.358,0.6950000000000001
김문호,전반기,2015,193,55,9,0,1,18,3,45,67,21,0.285,0.355,0.347,0.702
김문호,전반기,2016,323,111,21,2,5,34,3,83,151,37,0.344,0.411,0.467,0.878
김문호,전반기,2017,242,78,9,1,2,26,9,66,95,35,0.322,0.408,0.393,0.8009999999999999
김문호,전반기,2018,92,23,7,0,1,12,0,15,33,12,0.25,0.337,0.359,0.696
김문호,후반기,2006,9,3,0,0,0,2,0,3,3,2,0.333,0.455,0.333,0.788
김문호,후반기,2007,6,1,0,0,0,1,0,1,1,1,0.167,0.286,0.167,0.45299999999999996
김문호,후반기,2008,8,3,0,1,0,0,0,2,5,0,0.375,0.375,0.625,1.0
김문호,후반기,2012,36,8,2,0,0,3,1,6,10,4,0.222,0.3,0.278,0.5780000000000001
김문호,후반기,2014,41,6,1,0,1,0,0,4,10,0,0.146,0.146,0.244,0.39
김문호,후반기,2015,95,33,4,0,3,7,1,26,46,8,0.347,0.398,0.484,0.882
김문호,후반기,2016,203,60,7,1,2,28,3,50,75,31,0.296,0.389,0.369,0.758
김문호,후반기,2017,148,36,8,0,0,11,4,28,44,15,0.243,0.313,0.297,0.61
김문호,후반기,2018,8,2,0,0,1,1,0,1,5,1,0.25,0.333,0.625,0.958
김민성,전반기,2007,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김민성,전반기,2008,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김민성,전반기,2009,254,63,15,0,3,30,3,45,87,33,0.248,0.334,0.343,0.677
김민성,전반기,2010,89,22,3,0,2,9,6,17,31,15,0.247,0.356,0.348,0.704
김민성,전반기,2011,181,43,6,0,2,17,7,35,55,24,0.238,0.327,0.304,0.631
김민성,전반기,2012,53,18,3,0,3,6,0,12,30,6,0.34,0.407,0.566,0.9729999999999999
김민성,전반기,2013,250,73,15,2,5,27,7,51,107,34,0.292,0.377,0.428,0.8049999999999999
김민성,전반기,2014,282,86,14,0,7,22,8,65,121,30,0.305,0.372,0.429,0.8009999999999999
김민성,전반기,2015,284,93,17,0,8,25,6,68,134,31,0.327,0.394,0.472,0.866
김민성,전반기,2016,307,93,23,4,7,29,2,59,145,31,0.303,0.367,0.472,0.839
김민성,전반기,2017,305,94,20,1,11,23,3,62,149,26,0.308,0.363,0.489,0.852
김민성,전반기,2018,272,74,15,0,7,29,3,52,110,32,0.272,0.349,0.404,0.753
김민성,후반기,2008,24,5,1,0,0,0,2,4,6,2,0.208,0.269,0.25,0.519
김민성,후반기,2009,73,18,2,0,1,18,1,15,23,19,0.247,0.402,0.315,0.7170000000000001
김민성,후반기,2010,91,14,1,0,0,9,5,13,15,14,0.154,0.267,0.165,0.43200000000000005
김민성,후반기,2011,133,31,4,1,2,9,2,24,43,11,0.233,0.292,0.323,0.615
김민성,후반기,2012,166,44,6,0,1,11,6,37,53,17,0.265,0.333,0.319,0.652
김민성,후반기,2013,208,56,9,0,10,15,9,37,95,24,0.269,0.345,0.457,0.802
김민성,후반기,2014,156,42,15,2,5,8,2,20,76,10,0.269,0.313,0.487,0.8
김민성,후반기,2015,161,42,7,0,8,6,2,27,73,8,0.261,0.296,0.453,0.749
김민성,후반기,2016,203,63,16,1,10,24,1,36,111,25,0.31,0.386,0.547,0.933
김민성,후반기,2017,167,39,6,0,4,20,4,29,57,24,0.234,0.33,0.341,0.671
김민성,후반기,2018,141,43,9,0,3,11,3,31,61,14,0.305,0.368,0.433,0.8009999999999999
김민수,전반기,2014,70,9,0,0,0,3,0,9,9,3,0.129,0.164,0.129,0.29300000000000004
김민수,전반기,2018,2,1,0,0,0,0,0,1,1,0,0.5,0.5,0.5,1.0
김민수,후반기,2014,4,2,1,0,0,0,0,1,3,0,0.5,0.5,0.75,1.25
김민수,후반기,2017,21,3,1,0,0,1,0,2,4,1,0.143,0.182,0.19,0.372
김민수,후반기,2018,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김민식,전반기,2015,23,4,0,0,0,2,0,4,4,2,0.174,0.24,0.174,0.414
김민식,전반기,2016,77,15,3,0,1,13,1,11,21,14,0.195,0.319,0.273,0.5920000000000001
김민식,전반기,2017,227,51,6,1,4,19,4,40,71,23,0.225,0.296,0.313,0.609
김민식,전반기,2018,183,45,6,2,4,21,2,33,67,23,0.246,0.33,0.366,0.696
김민식,후반기,2015,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김민식,후반기,2016,67,22,6,0,1,8,1,15,31,9,0.328,0.408,0.463,0.871
김민식,후반기,2017,125,27,3,1,0,7,1,23,32,8,0.216,0.263,0.256,0.519
김민식,후반기,2018,127,31,3,1,2,18,1,25,42,19,0.244,0.342,0.331,0.673
김민하,전반기,2014,24,2,1,0,0,0,1,1,3,1,0.083,0.12,0.125,0.245
김민하,전반기,2015,116,28,6,0,1,18,4,21,37,22,0.241,0.362,0.319,0.681
김민하,전반기,2016,22,4,1,0,1,0,1,2,8,1,0.182,0.217,0.364,0.581
김민하,전반기,2018,77,18,4,0,1,4,2,13,25,6,0.234,0.289,0.325,0.614
김민하,후반기,2011,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
김민하,후반기,2014,70,23,7,0,2,2,0,14,36,2,0.329,0.347,0.514,0.861
김민하,후반기,2016,23,5,0,0,0,1,0,5,5,1,0.217,0.25,0.217,0.46699999999999997
김민하,후반기,2018,20,3,0,0,2,1,1,1,9,2,0.15,0.227,0.45,0.677
김사훈,전반기,2012,15,4,1,0,0,0,0,3,5,0,0.267,0.267,0.333,0.6000000000000001
김사훈,전반기,2013,3,1,0,0,0,0,0,1,1,0,0.333,0.333,0.333,0.666
김사훈,전반기,2017,49,7,0,0,0,3,1,7,7,4,0.143,0.208,0.143,0.351
김사훈,전반기,2018,74,17,3,0,0,1,1,14,20,2,0.23,0.25,0.27,0.52
김사훈,후반기,2013,26,2,1,0,0,4,1,1,3,5,0.077,0.226,0.115,0.341
김사훈,후반기,2014,3,1,0,0,0,0,0,1,1,0,0.333,0.333,0.333,0.666
김사훈,후반기,2016,28,9,1,0,0,3,0,8,10,3,0.321,0.387,0.357,0.744
김사훈,후반기,2017,27,7,3,0,0,3,0,4,10,3,0.259,0.333,0.37,0.7030000000000001
김사훈,후반기,2018,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
김상수,전반기,2009,171,44,12,0,0,13,2,32,56,15,0.257,0.317,0.327,0.644
김상수,전반기,2010,156,37,2,1,0,17,8,34,41,25,0.237,0.343,0.263,0.6060000000000001
김상수,전반기,2011,231,66,8,3,2,22,4,53,86,26,0.286,0.358,0.372,0.73
김상수,전반기,2012,250,64,10,2,2,29,5,50,84,34,0.256,0.345,0.336,0.681
김상수,전반기,2013,220,64,9,2,7,24,3,46,98,27,0.291,0.368,0.445,0.813
김상수,전반기,2014,260,75,13,4,4,26,4,54,108,30,0.288,0.362,0.415,0.7769999999999999
김상수,전반기,2015,254,72,14,3,5,25,2,50,107,27,0.283,0.352,0.421,0.7729999999999999
김상수,전반기,2016,153,38,6,0,1,7,5,31,47,12,0.248,0.303,0.307,0.61
김상수,전반기,2017,126,31,6,0,1,4,1,24,40,5,0.246,0.275,0.317,0.5920000000000001
김상수,전반기,2018,279,75,8,1,7,14,6,59,106,20,0.269,0.318,0.38,0.698
김상수,후반기,2009,71,15,7,0,0,8,0,8,22,8,0.211,0.291,0.31,0.601
김상수,후반기,2010,126,32,5,2,0,14,4,25,41,18,0.254,0.347,0.325,0.6719999999999999
김상수,후반기,2011,175,47,8,1,0,25,3,38,57,28,0.269,0.369,0.326,0.6950000000000001
김상수,후반기,2012,169,51,8,2,0,12,2,41,63,14,0.302,0.355,0.373,0.728
김상수,후반기,2013,152,47,8,1,0,6,2,38,57,8,0.309,0.344,0.375,0.719
김상수,후반기,2014,167,48,7,4,1,15,3,36,66,18,0.287,0.357,0.395,0.752
김상수,후반기,2015,195,53,16,1,3,18,4,33,80,22,0.272,0.346,0.41,0.756
김상수,후반기,2016,205,59,7,0,2,16,3,50,72,19,0.288,0.348,0.351,0.699
김상수,후반기,2017,18,7,1,0,2,1,0,4,14,1,0.389,0.421,0.778,1.199
김상수,후반기,2018,174,44,5,0,3,13,2,36,58,15,0.253,0.312,0.333,0.645
김선빈,전반기,2008,213,58,2,2,0,25,2,54,64,27,0.272,0.354,0.3,0.6539999999999999
김선빈,전반기,2009,86,25,7,1,0,8,1,17,34,9,0.291,0.358,0.395,0.753
김선빈,전반기,2010,204,58,8,1,0,23,4,49,68,27,0.284,0.368,0.333,0.7010000000000001
김선빈,전반기,2011,241,71,10,2,3,37,2,56,94,39,0.295,0.393,0.39,0.783
김선빈,전반기,2012,251,77,14,0,3,35,1,60,100,36,0.307,0.394,0.398,0.792
김선빈,전반기,2013,253,81,11,0,1,26,2,69,95,28,0.32,0.388,0.375,0.763
김선빈,전반기,2014,86,25,3,0,0,3,0,22,28,3,0.291,0.315,0.326,0.641
김선빈,전반기,2017,284,108,24,0,2,24,2,82,138,26,0.38,0.432,0.486,0.9179999999999999
김선빈,전반기,2018,234,66,12,2,1,24,5,51,85,29,0.282,0.361,0.363,0.724
김선빈,후반기,2008,65,13,0,0,0,5,0,13,13,5,0.2,0.257,0.2,0.457
